                                                                                                                                                                                                                                                                            28 Jan 2026 18:20:01
SatelliteCollection-constellation


RowNumber          Name               Epoch (UTCG)          Ephemeris Start Time (UTCG)    Ephemeris Stop Time (UTCG)     ID    Shell    Plane    Slot    Altitude (km)    SemimajorAxis (km)    Eccentricity    Inclination (deg)    ArgumentOfPerigee (deg)    RAAN (deg)    TrueAnomaly (deg)
       28    Shell_1_P02_S08    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     27    1        02       8          949.863000           7328.000000        0.000000               62.900                      0.000       219.500              144.000
       29    Shell_1_P02_S09    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     28    1        02       9          949.863000           7328.000000        0.000000               62.900                      0.000       219.500              162.000
       30    Shell_1_P02_S10    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     29    1        02       10         949.863000           7328.000000        0.000000               62.900                      0.000       219.500              180.000
       31    Shell_1_P02_S11    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     30    1        02       11         949.863000           7328.000000        0.000000               62.900                      0.000       219.500              198.000
       32    Shell_1_P02_S12    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     31    1        02       12         949.863000           7328.000000        0.000000               62.900                      0.000       219.500              216.000
       33    Shell_1_P02_S13    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     32    1        02       13         949.863000           7328.000000        0.000000               62.900                      0.000       219.500              234.000
       34    Shell_1_P02_S14    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     33    1        02       14         949.863000           7328.000000        0.000000               62.900                      0.000       219.500              252.000
       35    Shell_1_P02_S15    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     34    1        02       15         949.863000           7328.000000        0.000000               62.900                      0.000       219.500              270.000
       36    Shell_1_P02_S16    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     35    1        02       16         949.863000           7328.000000        0.000000               62.900                      0.000       219.500              288.000
       37    Shell_1_P02_S17    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     36    1        02       17         949.863000           7328.000000        0.000000               62.900                      0.000       219.500              306.000
       38    Shell_1_P02_S18    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     37    1        02       18         949.863000           7328.000000        0.000000               62.900                      0.000       219.500              324.000
       39    Shell_1_P02_S19    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     38    1        02       19         949.863000           7328.000000        0.000000               62.900                      0.000       219.500              342.000
       40    Shell_1_P02_S20    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     39    1        02       20         949.863000           7328.000000        0.000000               62.900                      0.000       219.500              360.000
       41    Shell_1_P03_S01    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     40    1        03       1          949.863000           7328.000000        0.000000               62.900                      0.000       255.500               36.000
       42    Shell_1_P03_S02    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     41    1        03       2          949.863000           7328.000000        0.000000               62.900                      0.000       255.500               54.000
       43    Shell_1_P03_S03    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     42    1        03       3          949.863000           7328.000000        0.000000               62.900                      0.000       255.500               72.000
       44    Shell_1_P03_S04    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     43    1        03       4          949.863000           7328.000000        0.000000               62.900                      0.000       255.500               90.000
       45    Shell_1_P03_S05    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     44    1        03       5          949.863000           7328.000000        0.000000               62.900                      0.000       255.500              108.000
       46    Shell_1_P03_S06    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     45    1        03       6          949.863000           7328.000000        0.000000               62.900                      0.000       255.500              126.000
       47    Shell_1_P03_S07    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     46    1        03       7          949.863000           7328.000000        0.000000               62.900                      0.000       255.500              144.000
       48    Shell_1_P03_S08    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     47    1        03       8          949.863000           7328.000000        0.000000               62.900                      0.000       255.500              162.000
       49    Shell_1_P03_S09    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     48    1        03       9          949.863000           7328.000000        0.000000               62.900                      0.000       255.500              180.000
       50    Shell_1_P03_S10    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     49    1        03       10         949.863000           7328.000000        0.000000               62.900                      0.000       255.500              198.000
       51    Shell_1_P03_S11    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     50    1        03       11         949.863000           7328.000000        0.000000               62.900                      0.000       255.500              216.000
       52    Shell_1_P03_S12    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     51    1        03       12         949.863000           7328.000000        0.000000               62.900                      0.000       255.500              234.000
       53    Shell_1_P03_S13    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     52    1        03       13         949.863000           7328.000000        0.000000               62.900                      0.000       255.500              252.000
       54    Shell_1_P03_S14    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     53    1        03       14         949.863000           7328.000000        0.000000               62.900                      0.000       255.500              270.000
       55    Shell_1_P03_S15    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     54    1        03       15         949.863000           7328.000000        0.000000               62.900                      0.000       255.500              288.000
       56    Shell_1_P03_S16    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     55    1        03       16         949.863000           7328.000000        0.000000               62.900                      0.000       255.500              306.000
       57    Shell_1_P03_S17    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     56    1        03       17         949.863000           7328.000000        0.000000               62.900                      0.000       255.500              324.000
       58    Shell_1_P03_S18    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     57    1        03       18         949.863000           7328.000000        0.000000               62.900                      0.000       255.500              342.000
       59    Shell_1_P03_S19    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     58    1        03       19         949.863000           7328.000000        0.000000               62.900                      0.000       255.500              360.000
       60    Shell_1_P03_S20    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     59    1        03       20         949.863000           7328.000000        0.000000               62.900                      0.000       255.500              378.000
       61    Shell_1_P04_S01    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     60    1        04       1          949.863000           7328.000000        0.000000               62.900                      0.000       291.500               54.000
       62    Shell_1_P04_S02    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     61    1        04       2          949.863000           7328.000000        0.000000               62.900                      0.000       291.500               72.000
       63    Shell_1_P04_S03    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     62    1        04       3          949.863000           7328.000000        0.000000               62.900                      0.000       291.500               90.000
       64    Shell_1_P04_S04    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     63    1        04       4          949.863000           7328.000000        0.000000               62.900                      0.000       291.500              108.000
       65    Shell_1_P04_S05    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     64    1        04       5          949.863000           7328.000000        0.000000               62.900                      0.000       291.500              126.000
       66    Shell_1_P04_S06    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     65    1        04       6          949.863000           7328.000000        0.000000               62.900                      0.000       291.500              144.000
       67    Shell_1_P04_S07    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     66    1        04       7          949.863000           7328.000000        0.000000               62.900                      0.000       291.500              162.000
